product,quantity,price,date
Ball Pen,305,208.0,2025-09-25
Ball Pen,467,202.0,2025-10-26
Ball Pen,277,212.0,2025-09-18
Ball Pen,305,210.0,2025-08-14
Ball Pen,410,202.0,2025-08-27
Ball Pen,104,205.0,2025-08-14
Ball Pen,198,210.0,2025-10-12
Ball Pen,419,202.0,2025-10-01
Ball Pen,458,200.0,2025-08-27
Ball Pen,114,203.0,2025-10-07
Ball Pen,236,202.0,2025-08-28
Ball Pen,433,210.0,2025-10-22
Ball Pen,497,201.0,2025-10-18
Ball Pen,304,207.0,2025-09-23
Ball Pen,371,197.0,2025-09-30
Ball Pen,293,198.0,2025-10-07
Ball Pen,429,212.0,2025-10-06
Ball Pen,100,211.0,2025-10-10
Ball Pen,137,211.0,2025-10-10
Ball Pen,488,202.0,2025-10-17
Ball Pen,172,201.0,2025-09-18
Ball Pen,364,205.0,2025-10-16
Ball Pen,353,199.0,2025-09-13
Ball Pen,334,211.0,2025-10-29
Ball Pen,388,211.0,2025-08-31
Ball Pen,298,206.0,2025-10-19
Ball Pen,375,198.0,2025-08-19
Ball Pen,216,209.0,2025-11-02
Ball Pen,189,207.0,2025-08-15
Ball Pen,169,212.0,2025-10-08
Gel Pen,327,196.0,2025-09-22
Gel Pen,355,187.0,2025-09-14
Gel Pen,143,196.0,2025-11-01
Gel Pen,484,187.0,2025-10-26
Gel Pen,481,185.0,2025-08-27
Gel Pen,349,197.0,2025-10-13
Gel Pen,470,193.0,2025-10-11
Gel Pen,207,197.0,2025-10-11
Gel Pen,128,183.0,2025-11-02
Gel Pen,422,181.0,2025-09-11
Gel Pen,302,195.0,2025-09-27
Gel Pen,431,191.0,2025-10-09
Gel Pen,386,185.0,2025-09-23
Gel Pen,236,191.0,2025-08-24
Gel Pen,475,182.0,2025-09-11
Gel Pen,343,191.0,2025-09-01
Gel Pen,371,188.0,2025-08-23
Gel Pen,180,195.0,2025-08-13
Gel Pen,449,180.0,2025-09-07
Gel Pen,483,196.0,2025-09-20
Gel Pen,177,184.0,2025-08-23
Gel Pen,229,196.0,2025-08-22
Gel Pen,487,197.0,2025-08-31
Gel Pen,448,186.0,2025-09-07
Gel Pen,258,191.0,2025-09-09
Gel Pen,300,197.0,2025-09-12
Gel Pen,150,195.0,2025-09-08
Gel Pen,281,192.0,2025-08-17
Gel Pen,249,186.0,2025-09-13
Gel Pen,136,189.0,2025-10-12
Pencil,127,157.0,2025-08-26
Pencil,312,148.0,2025-10-31
Pencil,333,162.0,2025-10-03
Pencil,442,152.0,2025-10-09
Pencil,422,164.0,2025-09-14
Pencil,398,156.0,2025-10-15
Pencil,420,148.0,2025-08-15
Pencil,101,162.0,2025-10-13
Pencil,249,164.0,2025-09-14
Pencil,417,164.0,2025-09-06
Pencil,375,148.0,2025-10-16
Pencil,110,150.0,2025-08-30
Pencil,207,157.0,2025-09-27
Pencil,371,160.0,2025-09-07
Pencil,204,153.0,2025-11-01
Pencil,500,149.0,2025-09-27
Pencil,224,161.0,2025-10-11
Pencil,496,164.0,2025-09-10
Pencil,339,149.0,2025-08-16
Pencil,254,161.0,2025-08-09
Pencil,419,160.0,2025-09-11
Pencil,279,147.0,2025-08-12
Pencil,479,147.0,2025-11-01
Pencil,190,156.0,2025-11-01
Pencil,243,147.0,2025-09-27
Pencil,211,156.0,2025-09-15
Pencil,300,162.0,2025-08-29
Pencil,346,150.0,2025-09-28
Pencil,257,147.0,2025-09-15
Pencil,138,149.0,2025-08-15
Eraser,140,215.0,2025-08-14
Eraser,258,204.0,2025-09-21
Eraser,232,201.0,2025-08-25
Eraser,312,199.0,2025-08-19
Eraser,349,208.0,2025-09-29
Eraser,245,208.0,2025-10-14
Eraser,252,206.0,2025-10-30
Eraser,319,207.0,2025-08-24
Eraser,419,211.0,2025-10-08
Eraser,247,206.0,2025-10-20
Eraser,393,217.0,2025-09-23
Eraser,373,206.0,2025-08-08
Eraser,409,216.0,2025-09-30
Eraser,142,208.0,2025-09-06
Eraser,374,203.0,2025-10-04
Eraser,355,214.0,2025-09-05
Eraser,325,213.0,2025-09-13
Eraser,222,212.0,2025-08-10
Eraser,299,216.0,2025-08-25
Eraser,478,217.0,2025-10-22
Eraser,245,213.0,2025-09-06
Eraser,435,214.0,2025-10-08
Eraser,419,198.0,2025-10-12
Eraser,300,199.0,2025-08-22
Eraser,446,207.0,2025-09-05
Eraser,488,198.0,2025-10-28
Eraser,340,213.0,2025-10-15
Eraser,114,198.0,2025-09-20
Eraser,324,203.0,2025-08-28
Eraser,140,212.0,2025-10-09
Sharpener,166,68.0,2025-10-16
Sharpener,390,70.0,2025-08-17
Sharpener,270,67.0,2025-10-22
Sharpener,374,70.0,2025-08-26
Sharpener,127,68.0,2025-09-19
Sharpener,198,61.0,2025-09-08
Sharpener,405,71.0,2025-08-08
Sharpener,394,61.0,2025-08-09
Sharpener,337,75.0,2025-11-05
Sharpener,288,61.0,2025-10-21
Sharpener,202,77.0,2025-10-12
Sharpener,486,72.0,2025-09-30
Sharpener,375,63.0,2025-10-29
Sharpener,129,68.0,2025-08-20
Sharpener,265,66.0,2025-09-06
Sharpener,413,73.0,2025-10-11
Sharpener,489,62.0,2025-09-06
Sharpener,120,59.0,2025-08-16
Sharpener,409,72.0,2025-10-08
Sharpener,116,59.0,2025-09-17
Sharpener,173,61.0,2025-09-10
Sharpener,345,72.0,2025-11-04
Sharpener,400,62.0,2025-08-13
Sharpener,276,71.0,2025-08-27
Sharpener,164,75.0,2025-10-16
Sharpener,378,59.0,2025-10-06
Sharpener,436,60.0,2025-08-18
Sharpener,425,58.0,2025-10-26
Sharpener,426,69.0,2025-09-16
Sharpener,478,74.0,2025-08-25
Scale,215,123.0,2025-10-27
Scale,446,118.0,2025-09-18
Scale,326,121.0,2025-08-14
Scale,255,111.0,2025-08-13
Scale,330,110.0,2025-09-19
Scale,419,113.0,2025-09-17
Scale,282,113.0,2025-10-27
Scale,374,112.0,2025-10-14
Scale,442,121.0,2025-08-27
Scale,173,124.0,2025-11-03
Scale,144,122.0,2025-10-15
Scale,479,122.0,2025-10-08
Scale,459,110.0,2025-10-05
Scale,402,115.0,2025-10-31
Scale,474,118.0,2025-10-27
Scale,286,114.0,2025-08-08
Scale,237,126.0,2025-08-22
Scale,321,118.0,2025-10-07
Scale,188,124.0,2025-10-03
Scale,133,122.0,2025-10-18
Scale,424,112.0,2025-10-26
Scale,302,112.0,2025-10-15
Scale,264,119.0,2025-10-12
Scale,145,114.0,2025-08-10
Scale,277,121.0,2025-09-10
Scale,149,126.0,2025-08-26
Scale,190,120.0,2025-09-15
Scale,423,116.0,2025-11-02
Scale,283,109.0,2025-10-04
Scale,466,122.0,2025-08-22
Marker,313,183.0,2025-08-28
Marker,276,185.0,2025-08-31
Marker,495,183.0,2025-10-09
Marker,390,185.0,2025-08-15
Marker,149,185.0,2025-09-26
Marker,313,169.0,2025-09-29
Marker,496,187.0,2025-09-26
Marker,413,169.0,2025-10-21
Marker,126,187.0,2025-10-12
Marker,353,185.0,2025-09-18
Marker,432,169.0,2025-09-05
Marker,398,170.0,2025-10-30
Marker,461,171.0,2025-08-17
Marker,408,180.0,2025-09-25
Marker,460,184.0,2025-10-08
Marker,360,185.0,2025-10-07
Marker,392,185.0,2025-08-13
Marker,488,185.0,2025-08-15
Marker,245,187.0,2025-08-08
Marker,236,178.0,2025-08-27
Marker,165,176.0,2025-09-05
Marker,445,170.0,2025-10-23
Marker,205,184.0,2025-08-20
Marker,119,172.0,2025-09-30
Marker,133,169.0,2025-10-13
Marker,448,184.0,2025-09-10
Marker,256,170.0,2025-09-25
Marker,208,185.0,2025-08-16
Marker,274,180.0,2025-10-25
Marker,110,187.0,2025-10-24
Highlighter,140,165.0,2025-08-28
Highlighter,406,157.0,2025-08-10
Highlighter,203,166.0,2025-10-17
Highlighter,152,161.0,2025-09-25
Highlighter,481,156.0,2025-08-14
Highlighter,309,150.0,2025-08-23
Highlighter,164,152.0,2025-08-28
Highlighter,422,165.0,2025-10-06
Highlighter,327,151.0,2025-11-05
Highlighter,208,160.0,2025-10-20
Highlighter,372,161.0,2025-08-15
Highlighter,476,166.0,2025-09-28
Highlighter,358,149.0,2025-10-21
Highlighter,288,167.0,2025-10-09
Highlighter,199,153.0,2025-08-18
Highlighter,247,150.0,2025-08-31
Highlighter,290,148.0,2025-08-11
Highlighter,164,166.0,2025-09-16
Highlighter,436,164.0,2025-09-07
Highlighter,240,149.0,2025-09-21
Highlighter,268,158.0,2025-10-12
Highlighter,188,152.0,2025-10-10
Highlighter,117,159.0,2025-08-22
Highlighter,112,150.0,2025-10-08
Highlighter,217,150.0,2025-08-18
Highlighter,152,152.0,2025-10-21
Highlighter,143,152.0,2025-09-17
Highlighter,102,150.0,2025-09-06
Highlighter,143,155.0,2025-10-13
Highlighter,280,159.0,2025-09-05
Notebook A4,462,118.0,2025-10-26
Notebook A4,134,106.0,2025-11-05
Notebook A4,155,116.0,2025-09-17
Notebook A4,366,111.0,2025-09-12
Notebook A4,436,109.0,2025-09-24
Notebook A4,200,117.0,2025-09-11
Notebook A4,347,103.0,2025-09-29
Notebook A4,210,110.0,2025-09-17
Notebook A4,413,120.0,2025-09-27
Notebook A4,178,118.0,2025-08-08
Notebook A4,267,102.0,2025-10-15
Notebook A4,468,120.0,2025-09-19
Notebook A4,386,104.0,2025-10-21
Notebook A4,459,116.0,2025-10-01
Notebook A4,318,107.0,2025-08-21
Notebook A4,442,120.0,2025-09-10
Notebook A4,223,108.0,2025-09-10
Notebook A4,288,114.0,2025-09-14
Notebook A4,464,115.0,2025-10-11
Notebook A4,426,112.0,2025-10-26
Notebook A4,477,110.0,2025-08-18
Notebook A4,194,116.0,2025-10-24
Notebook A4,135,113.0,2025-10-12
Notebook A4,438,106.0,2025-08-29
Notebook A4,498,102.0,2025-11-02
Notebook A4,213,121.0,2025-09-07
Notebook A4,339,104.0,2025-08-29
Notebook A4,379,103.0,2025-09-15
Notebook A4,200,116.0,2025-08-21
Notebook A4,451,110.0,2025-09-26
Notebook Long,329,90.0,2025-08-16
Notebook Long,259,91.0,2025-08-29
Notebook Long,189,104.0,2025-10-25
Notebook Long,216,90.0,2025-11-03
Notebook Long,223,104.0,2025-08-29
Notebook Long,101,102.0,2025-10-05
Notebook Long,113,100.0,2025-10-03
Notebook Long,160,88.0,2025-10-14
Notebook Long,442,97.0,2025-10-16
Notebook Long,446,91.0,2025-09-25
Notebook Long,466,95.0,2025-08-26
Notebook Long,210,100.0,2025-08-20
Notebook Long,405,90.0,2025-10-15
Notebook Long,226,95.0,2025-09-10
Notebook Long,296,96.0,2025-09-23
Notebook Long,477,97.0,2025-09-12
Notebook Long,492,107.0,2025-10-24
Notebook Long,481,99.0,2025-10-22
Notebook Long,236,103.0,2025-09-15
Notebook Long,412,105.0,2025-10-16
Notebook Long,141,105.0,2025-09-21
Notebook Long,250,93.0,2025-10-25
Notebook Long,181,106.0,2025-09-15
Notebook Long,299,104.0,2025-09-10
Notebook Long,305,105.0,2025-09-04
Notebook Long,459,97.0,2025-10-13
Notebook Long,274,97.0,2025-10-02
Notebook Long,342,88.0,2025-10-06
Notebook Long,328,94.0,2025-08-18
Notebook Long,370,102.0,2025-10-27
Diary,200,74.0,2025-08-27
Diary,248,68.0,2025-08-22
Diary,229,70.0,2025-10-18
Diary,380,73.0,2025-08-17
Diary,300,73.0,2025-08-15
Diary,343,67.0,2025-09-26
Diary,309,77.0,2025-08-21
Diary,197,75.0,2025-10-01
Diary,333,76.0,2025-08-13
Diary,221,78.0,2025-09-11
Diary,450,80.0,2025-10-17
Diary,155,78.0,2025-09-02
Diary,442,61.0,2025-09-08
