product	HS_Code	quantity	price	date
Rice	1006.3	371	463.12	2024-12-21
Rice	1006.3	278	29.56	2025-02-12
Rice	1006.3	270	452.33	2025-03-07
Rice	1006.3	156	393.19	2025-03-01
Rice	1006.3	168	435.82	2025-07-25
Rice	1006.3	352	48.88	2024-10-30
Rice	1006.3	145	112	2025-03-11
Rice	1006.3	319	322.02	2025-03-07
Rice	1006.3	244	173.32	2024-10-10
Rice	1006.3	91	344.19	2024-12-20
Wheat	1001.19	167	164.94	2025-01-29
Wheat	1001.19	108	293.81	2024-11-03
Wheat	1001.19	493	139.55	2025-06-07
Wheat	1001.19	343	300.97	2025-02-28
Wheat	1001.19	271	472.68	2024-11-09
Wheat	1001.19	289	172.47	2024-11-28
Wheat	1001.19	160	76.81	2025-06-09
Wheat	1001.19	312	286.38	2025-04-05
Wheat	1001.19	73	13.61	2024-09-17
Wheat	1001.19	467	359.46	2024-10-04
Corn	1005.9	470	27.78	2024-11-30
Corn	1005.9	282	169.44	2024-08-27
Corn	1005.9	142	362.01	2025-07-26
Corn	1005.9	193	441.03	2025-05-15
Corn	1005.9	18	364.7	2025-03-02
Corn	1005.9	93	247.78	2024-11-14
Corn	1005.9	93	428.72	2024-10-03
Corn	1005.9	370	384.05	2024-12-04
Corn	1005.9	490	480.05	2025-03-24
Corn	1005.9	313	99.09	2025-01-27
Sugar	1701.99	373	169.22	2025-02-07
Sugar	1701.99	247	404.38	2024-12-12
Sugar	1701.99	313	337.02	2025-02-23
Sugar	1701.99	418	278.1	2025-01-31
Sugar	1701.99	249	483.42	2025-06-27
Sugar	1701.99	162	285.06	2025-04-16
Sugar	1701.99	118	199.28	2024-12-08
Sugar	1701.99	264	100.21	2024-10-23
Sugar	1701.99	387	136.03	2025-06-03
Sugar	1701.99	121	224.44	2025-02-22
Tea	902.1	401	311.4	2025-03-29
Tea	902.1	74	397.77	2024-11-01
Tea	902.1	98	72.77	2025-05-23
Tea	902.1	342	122.86	2024-12-20
Tea	902.1	200	264.41	2025-03-11
Tea	902.1	390	93.48	2025-04-20
Tea	902.1	273	35.26	2025-05-15
Tea	902.1	38	466.66	2024-09-30
Tea	902.1	459	81.65	2025-01-11
Tea	902.1	419	287.41	2024-10-22
Coffee	901.11	388	58.74	2025-03-12
Coffee	901.11	148	316.4	2025-06-30
Coffee	901.11	479	293.23	2024-10-22
Coffee	901.11	420	51.72	2024-09-21
Coffee	901.11	334	331.88	2025-02-06
Coffee	901.11	93	71.42	2025-06-23
Coffee	901.11	265	38.94	2024-10-23
Coffee	901.11	139	475.38	2024-10-03
Coffee	901.11	90	47.2	2025-02-01
Coffee	901.11	476	299.64	2025-02-13
Milk	401.1	142	457.51	2025-07-06
Milk	401.1	34	122.51	2025-06-27
Milk	401.1	17	432.12	2025-07-15
Milk	401.1	325	477.35	2025-03-04
Milk	401.1	170	18.11	2024-09-03
Milk	401.1	430	243.91	2025-01-05
Milk	401.1	304	23.02	2025-06-29
Milk	401.1	85	386.31	2025-04-06
Milk	401.1	427	114.55	2025-01-06
Milk	401.1	443	142.37	2025-06-24
Butter	405.1	360	40.96	2025-07-11
Butter	405.1	201	280.25	2024-09-04
Butter	405.1	150	484.36	2025-08-21
Butter	405.1	308	250.62	2024-09-14
Butter	405.1	35	408.83	2024-11-01
Butter	405.1	159	93.52	2024-09-19
Butter	405.1	90	204.42	2025-07-15
Butter	405.1	393	483.36	2025-08-21
Butter	405.1	463	390.58	2025-04-27
Butter	405.1	128	15.91	2024-11-06
Cheese	406.1	44	48.72	2024-09-05
Cheese	406.1	69	455.35	2025-05-20
Cheese	406.1	408	272.83	2025-06-25
Cheese	406.1	376	450.45	2025-03-16
Cheese	406.1	139	362.98	2024-09-16
Cheese	406.1	33	143.32	2025-05-17
Cheese	406.1	338	162.94	2025-03-12
Cheese	406.1	129	218.61	2025-03-13
Cheese	406.1	40	445.93	2025-03-03
Cheese	406.1	166	333.61	2024-12-01
Eggs	407	401	28.83	2025-04-15
Eggs	407	240	107.72	2024-11-12
Eggs	407	260	150.21	2025-06-11
Eggs	407	333	462.99	2024-11-05
Eggs	407	276	152.12	2025-04-11
Eggs	407	122	145.35	2025-04-30
Eggs	407	65	444.29	2025-06-11
Eggs	407	193	116.39	2025-05-08
Eggs	407	493	122.04	2025-07-08
Eggs	407	374	409.53	2025-03-26
Chicken Meat	207.14	470	118.17	2025-07-20
Chicken Meat	207.14	477	333.41	2025-08-10
Chicken Meat	207.14	389	427.21	2025-06-30
Chicken Meat	207.14	417	295.08	2025-02-14
Chicken Meat	207.14	100	116.25	2025-03-29
Chicken Meat	207.14	397	260.36	2025-01-23
Chicken Meat	207.14	23	46.26	2025-01-03
Chicken Meat	207.14	404	182.89	2024-10-01
Chicken Meat	207.14	319	25.96	2025-07-11
Chicken Meat	207.14	481	97.04	2025-06-06
Beef	201.3	48	251.13	2025-04-01
Beef	201.3	141	297.17	2024-11-04
Beef	201.3	150	175.4	2024-09-02
Beef	201.3	309	108.47	2025-03-23
Beef	201.3	61	199.98	2024-10-02
Beef	201.3	492	449.72	2025-01-31
Beef	201.3	268	476.55	2024-10-02
Beef	201.3	447	476.84	2025-08-19
Beef	201.3	29	414.46	2025-07-17
Beef	201.3	416	343.42	2025-03-10
Pork	203.29	301	67.83	2024-09-26
Pork	203.29	401	419.66	2025-06-12
