product,quantity,price,date
Rice,371,463.12,2024-12-21
Rice,278,29.56,2025-02-12
Rice,270,452.33,2025-03-07
Rice,156,393.19,2025-03-01
Rice,168,435.82,2025-07-25
Rice,352,48.88,2024-10-30
Rice,145,112,2025-03-11
Rice,319,322.02,2025-03-07
Rice,244,173.32,2024-10-10
Rice,91,344.19,2024-12-20
Wheat,167,164.94,2025-01-29
Wheat,108,293.81,2024-11-03
Wheat,493,139.55,2025-06-07
Wheat,343,300.97,2025-02-28
Wheat,271,472.68,2024-11-09
Wheat,289,172.47,2024-11-28
Wheat,160,76.81,2025-06-09
Wheat,312,286.38,2025-04-05
Wheat,73,13.61,2024-09-17
Wheat,467,359.46,2024-10-04
Corn,470,27.78,2024-11-30
Corn,282,169.44,2024-08-27
Corn,142,362.01,2025-07-26
Corn,193,441.03,2025-05-15
Corn,18,364.7,2025-03-02
Corn,93,247.78,2024-11-14
Corn,93,428.72,2024-10-03
Corn,370,384.05,2024-12-04
Corn,490,480.05,2025-03-24
Corn,313,99.09,2025-01-27
Sugar,373,169.22,2025-02-07
Sugar,247,404.38,2024-12-12
Sugar,313,337.02,2025-02-23
Sugar,418,278.1,2025-01-31
Sugar,249,483.42,2025-06-27
Sugar,162,285.06,2025-04-16
Sugar,118,199.28,2024-12-08
Sugar,264,100.21,2024-10-23
Sugar,387,136.03,2025-06-03
Sugar,121,224.44,2025-02-22
Tea,401,311.4,2025-03-29
Tea,74,397.77,2024-11-01
Tea,98,72.77,2025-05-23
Tea,342,122.86,2024-12-20
Tea,200,264.41,2025-03-11
Tea,390,93.48,2025-04-20
Tea,273,35.26,2025-05-15
Tea,38,466.66,2024-09-30
Tea,459,81.65,2025-01-11
Tea,419,287.41,2024-10-22
Coffee,388,58.74,2025-03-12
Coffee,148,316.4,2025-06-30
Coffee,479,293.23,2024-10-22
Coffee,420,51.72,2024-09-21
Coffee,334,331.88,2025-02-06
Coffee,93,71.42,2025-06-23
Coffee,265,38.94,2024-10-23
Coffee,139,475.38,2024-10-03
Coffee,90,47.2,2025-02-01
Coffee,476,299.64,2025-02-13
Milk,142,457.51,2025-07-06
Milk,34,122.51,2025-06-27
Milk,17,432.12,2025-07-15
Milk,325,477.35,2025-03-04
Milk,170,18.11,2024-09-03
Milk,430,243.91,2025-01-05
Milk,304,23.02,2025-06-29
Milk,85,386.31,2025-04-06
Milk,427,114.55,2025-01-06
Milk,443,142.37,2025-06-24
Butter,360,40.96,2025-07-11
Butter,201,280.25,2024-09-04
Butter,150,484.36,2025-08-21
Butter,308,250.62,2024-09-14
Butter,35,408.83,2024-11-01
Butter,159,93.52,2024-09-19
Butter,90,204.42,2025-07-15
Butter,393,483.36,2025-08-21
Butter,463,390.58,2025-04-27
Butter,128,15.91,2024-11-06
Cheese,44,48.72,2024-09-05
Cheese,69,455.35,2025-05-20
Cheese,408,272.83,2025-06-25
Cheese,376,450.45,2025-03-16
Cheese,139,362.98,2024-09-16
Cheese,33,143.32,2025-05-17
Cheese,338,162.94,2025-03-12
Cheese,129,218.61,2025-03-13
Cheese,40,445.93,2025-03-03
Cheese,166,333.61,2024-12-01
Eggs,401,28.83,2025-04-15
Eggs,240,107.72,2024-11-12
Eggs,260,150.21,2025-06-11
Eggs,333,462.99,2024-11-05
Eggs,276,152.12,2025-04-11
Eggs,122,145.35,2025-04-30
Eggs,65,444.29,2025-06-11
Eggs,193,116.39,2025-05-08
