product,quantity,price,date
Rice,84,372.54,2025-08-23
Rice,16,92.3,2025-08-22
Rice,64,482.42,2025-07-30
Rice,109,251.32,2025-06-27
Rice,63,108.31,2025-08-23
Rice,194,189.36,2025-07-25
Rice,62,431.44,2025-07-31
Rice,83,68.85,2025-07-26
Rice,76,569.42,2025-07-30
Rice,73,184.09,2025-07-27
Rice,165,264.48,2025-08-21
Rice,68,19.59,2025-07-05
Rice,91,385.68,2025-07-07
Rice,94,372.45,2025-07-05
Rice,108,86.95,2025-08-22
Wheat,53,561.89,2025-07-09
Wheat,58,322.21,2025-08-15
Wheat,99,182.7,2025-08-04
Wheat,169,498.66,2025-07-06
Wheat,10,329.78,2025-07-31
Wheat,77,557.47,2025-07-17
Wheat,188,226.7,2025-07-01
Wheat,188,580.82,2025-08-18
Wheat,44,92.89,2025-08-24
Wheat,168,463.75,2025-08-17
Wheat,74,13.59,2025-07-29
Wheat,128,417.58,2025-07-01
Wheat,78,390.52,2025-08-22
Wheat,109,69.58,2025-08-08
Wheat,10,358.33,2025-07-29
Corn,34,493.23,2025-06-29
Corn,177,130.26,2025-08-22
Corn,153,39.16,2025-08-09
Corn,193,444.91,2025-08-07
Corn,52,547.35,2025-08-24
Corn,120,292.82,2025-07-16
Corn,174,435.62,2025-08-25
Corn,65,294.29,2025-08-04
Corn,149,186.81,2025-07-18
Corn,51,212.59,2025-07-07
Corn,39,107.41,2025-07-14
Corn,158,15.61,2025-07-10
Corn,149,439.5,2025-08-12
Corn,73,300.16,2025-07-13
Corn,35,206.91,2025-06-28
Sugar,91,425.12,2025-08-18
Sugar,60,429.37,2025-07-08
Sugar,32,16.08,2025-06-30
Sugar,14,83,2025-08-11
Sugar,84,411.58,2025-08-07
Sugar,178,241.65,2025-07-23
Sugar,100,485.76,2025-08-03
Sugar,44,315.72,2025-08-02
Sugar,94,89.9,2025-07-30
Sugar,93,244.26,2025-08-06
Sugar,163,35.28,2025-08-12
Sugar,102,171.33,2025-08-19
Sugar,131,358.57,2025-08-16
Sugar,179,23.3,2025-07-03
Sugar,105,301.48,2025-08-20
Tea,90,267.46,2025-07-17
Tea,83,232.4,2025-08-03
Tea,95,537.97,2025-07-10
Tea,53,135.17,2025-07-30
Tea,97,196.45,2025-08-18
Tea,139,373.78,2025-08-20
Tea,161,153.35,2025-06-26
